app,good_count,bad_count,total_count
wasaver.downloadstatus.videosaver.wasticker.downloader,1,0,1
com.id6sr777.ntla1082,1,0,1
com.id7juarago.ntla51,1,0,1
com.km.cutpaste.util,1,0,1
com.pdfreader.pdf.viewer.document.signer,1,0,1
com.tera.scan,1,0,1
com.tulus.bnkp.perikopenbnkp,1,0,1
org.chromium.webapk.add96e902c1d82187_v2,1,0,1
app.princessbabyphone.phonegame,1,0,1
com.MarsalBermain.MewarnaiGambar,1,0,1
com.MarsalBermain.PuzzleGameAnakTKdanPAUD,1,0,1
com.iz.hospital.doctor.game.kids.girls.baby,1,0,1
com.kidsworld.learn.music.play,1,0,1
com.kigle.cocobi.babycare,1,0,1
com.kigle.cocobi.bakery,1,0,1
com.kigle.cocobi.firefighter,1,0,1
com.kigle.cocobi.icecreamtruck,1,0,1
com.kigle.cocobi.pizzamake,1,0,1
com.kigle.cocobi.playone,1,0,1
com.kigle.cocobi.world.one,1,0,1
com.microsoft.office.lync15,1,0,1
com.rvappstudios.baby.games.piano.phone.kids,1,0,1
com.rvappstudios.baby.phone.kids.games.toddler.learning.apps.lucas.and.friends,1,0,1
com.rvappstudios.baby.toddler.kids.games.learning.activity,1,0,1
com.tt.toddler.songs.tunes.fun.games,1,0,1
learning.games.girls,1,0,1
org.ubitech.attendance,1,0,1
com.adguard.android.contentblocker,1,0,1
id.yimm.ecatalogue,1,0,1
org.chromium.webapk.af8db491c9f6329fd_v2,1,0,1
ccd.crazy.car.drivepro,1,0,1
com.quora.android,1,0,1
com.softwareupdate.systemupdate,1,0,1
com.topmortar.topmortarseller,1,0,1
com.cordova.credit_tool,1,0,1
com.monotype.android.font.agent,1,0,1
com.monotype.android.font.morrisfreestyle,1,0,1
com.monotype.android.font.typehappymarketlatin,1,0,1
com.amo.gps.geo.map.location.gpscamera,1,0,1
map.gpscamera.geotag.photo.app,1,0,1
com.crazylabs.dentist,1,0,1
com.ironboy.stickman.rope.hero,1,0,1
com.indogrosir.sd1.klikindogrosir,1,0,1
com.mixmoji.emojifun,1,0,1
com.googlemap.ceibaii,1,0,1
com.msee.ArahKiblatindonesia,1,0,1
com.quicinc.voice.activation,1,0,1
free.vpn.unblock.proxy.vpnmonster,1,0,1
ai.music.app,1,0,1
com.gdmobile.matrix,1,0,1
com.tscnpm.image.toprompt.generator.forstablediffusion.midjourney.prompt.builder,1,0,1
com.vidmind.aiimagegenerator,1,0,1
org.chromium.webapk.a58dfe6f5d310b417_v2,1,0,1
tera.aiartgenerator.aiphoto.aiphotoenhancer,1,0,1
tidynotes.notes.notepad.notebook.note.checklist,1,0,1
com.vistrav.duplicateimagefinder,1,0,1
org.chromium.webapk.a42b8bcc8827b7755_v2,1,0,1
org.chromium.webapk.a8bd681f6cee754cb_v2,1,0,1
org.chromium.webapk.aea78b9c67d1ef3a2_v2,1,0,1
id.co.baliroyalhospital.mobile,1,0,1
com.ntla642.hixhtbw,1,0,1
beauty.selfie.camera,1,0,1
com.allvideodownloader.video.downloader.savevideos.allinone,1,0,1
com.app.cerb.mc888,1,0,1
com.blendergame.smash,1,0,1
com.btxdev.musiccompressor,1,0,1
com.craft.roblock.city.game,1,0,1
com.craftman.building.craftworld.go,1,0,1
com.cww.cubecraft,1,0,1
